SeriesName,SeasonNumber,EpisodeNumber,EpisodeTitle,AirDate
Better Call Saul,1,1,Uno,2015-02-08
Better Call Saul,1,2,Mijo,2015-02-09
Better Call Saul,1,3,Nacho,2015-02-16
Better Call Saul,1,4,Hero,2015-02-23
Better Call Saul,1,5,Alpine Shepherd Boy,2015-03-02
Better Call Saul,1,6,Five-O,2015-03-09
Better Call Saul,1,7,Bingo,2015-03-16
Better Call Saul,2,1,Switch,2016-02-15
Better Call Saul,2,2,Cobbler,2016-02-22
Better Call Saul,2,3,Amarillo,2016-02-29
Better Call Saul,2,4,Gloves Off,2016-03-07
Better Call Saul,2,5,Rebecca,2016-03-14
Better Call Saul,2,6,Bali Ha'i,2016-03-21
Better Call Saul,2,7,Inflatable,2016-03-28
Better Call Saul,2,9,Untitled Episode,2016-04-11
Better Call Saul,2,10,Klick,Unknown
Better Call Saul,3,1,Mabel,2017-04-10
Better Call Saul,3,2,Witness,2017-04-17
Better Call Saul,3,3,Sunk Costs,2017-04-24
Better Call Saul,3,4,Sabrosito,2017-05-01
Better Call Saul,3,5,Chicanery,2017-05-08
Better Call Saul,3,6,Off Brand,2017-05-15
Better Call Saul,3,7,Expenses,2017-05-22
Better Call Saul,3,9,Fall,Unknown
Breaking Bad,0,8,Cornered,2011-08-21
Breaking Bad,1,2,Cat's in the Bag,2008-01-27
Breaking Bad,1,3,And So Are You,2008-02-03
Breaking Bad,1,4,Cancer Man,2008-02-10
Breaking Bad,1,5,Gray Matter,2008-02-17
Breaking Bad,1,6,Crazy Handful of Nothin,2008-02-24
Breaking Bad,1,7,A No-Rough-Stuff-Type Deal,2008-03-02
Breaking Bad,2,1,Seven Thirty-Seven,2009-03-08
Breaking Bad,2,2,Down,2009-03-15
Breaking Bad,2,3,Bit by a Dead Bee,2009-03-22
Breaking Bad,2,4,Down,2009-03-29
Breaking Bad,2,5,Breakage,2009-04-05
Breaking Bad,2,6,Peekaboo,2009-04-12
Breaking Bad,2,7,Negro y Azul,2009-04-19
Breaking Bad,3,1,No Mas,2010-03-21
Breaking Bad,3,2,Caballo Sin Nombre,2010-03-28
Breaking Bad,3,3,I.F.T.,2010-04-04
Breaking Bad,3,4,Green Light,2010-04-11
Breaking Bad,3,5,Mas,2010-04-18
Breaking Bad,3,6,Sunset,2010-04-25
Breaking Bad,3,7,One Minute,2010-05-02
Breaking Bad,3,10,Fly,Unknown
Breaking Bad,4,1,Box Cutter,2011-07-17
Breaking Bad,4,2,Thirty-Eight Snub,2011-07-24
Breaking Bad,4,3,Open House,2011-07-31
Breaking Bad,4,4,Bullet Points,2011-08-07
Breaking Bad,4,5,Shotgun,2011-08-14
Breaking Bad,4,6,Cornered,2011-08-21
Breaking Bad,4,7,Problem Dog,2011-08-28
Breaking Bad,4,9,Untitled Episode,2011-09-04
Breaking Bad,5,1,Live Free or Die,2012-07-15
Breaking Bad,5,2,Madrigal,2012-07-22
Breaking Bad,5,3,Hazard Pay,2012-07-29
Breaking Bad,5,4,Fifty-One,2012-08-05
Breaking Bad,5,5,Dead Freight,2012-08-12
Breaking Bad,5,6,Buyout,2012-08-19
Breaking Bad,5,7,Say My Name,2012-08-26
Breaking Bad,5,9,Blood Money,Unknown
Bréaking Bäd,1,1,Pilot,2008-01-20
Dark,0,7,The White Devil,2019-07-01
Dark,1,1,Secrets,2017-12-01
Dark,1,2,Lies,2017-12-02
Dark,1,3,Past and Present,2017-12-03
Dark,1,4,Double Lives,2017-12-04
Dark,1,5,Truths,2017-12-05
Dark,1,6,Untitled Episode,2017-12-01
Dark,2,0,Beginnings,2019-06-21
Dark,2,1,Beginnings and Endings,2019-06-21
Dark,2,2,Dark Matter,2019-06-22
