SeriesName,SeasonNumber,EpisodeNumber,EpisodeTitle,AirDate
Better Call Saul,1,7,Bingo,2015-03-16
Bréaking Bäd,1,1,Pilot,2008-01-20
Dark,1,2,Lies,2017-12-02
Better Call Saul,3,3,Sunk Costs,2017-04-24
The Big Bang Theory,1,5,The Hamburger Postulate,2007-10-22
Dark,1,2,Lies,Unknown
Two and a Half Men,1,2,"Alan Harper, Frontier Psychiatrist",2003-09-29
The Big Bang Theory,2,2,The Codpiece Topology,2008-09-29
The Big Bang Theory,2,9,The White Asparagus Triangulation,   
Better Call Saul,1,5,Alpine Shepherd Boy,2015-03-02
Breaking Bad,3,,Sunset,2010-04-25
The Big Bang Theory,2,4,The Griffin Equivalency,2008-10-13
The Big Bang Theory,2,5,The Euclid Alternative,2008-10-20
Better Call Saul,2,1,Switch,2016-02-15
  breaking bad  ,1,1,Pilot,2008-01-20
Breaking Bad,5,3,Hazard Pay,2012-07-29
Better Call Saul,1,1,Uno,2015-02-08
The Big Bang Theory,3,3,The Gothowitz Deviation,2009-10-05
Two and a Half Men,2,3,A Bag Full of Jawea,2004-10-04
Better Call Saul,1,4,Hero,2015-02-23
The Big Bang Theory,1,10,The Loobenfeld Decay,not-a-date
Breaking Bad,1,2,Cat's in the Bag,2008-01-27
The Big Bang Theory,3,5,The Creepy Candy Coating Corollary,2009-10-19
Dark,2,1,Beginnings and Endings,2019-06-21
Breaking Bad,5,5,Dead Freight,2012-08-12
Two and a Half Men,3.5,4,An Episode,2005-10-11
Bëtter Cáll Saul,1,1,Uno,2015-02-08
N/A,2,3,Some Episode,2009-03-22
The Big Bang Theory,one,10,The Loobenfeld Decay,2007-11-12
Breaking Bad,3,5,Mas,2010-04-18
Dark,--2,7,The White Devil,2019-07-01
Dark,-3,3,Ghosts,2019-06-21
The Big Bang Theory,1,1,Pilot,2007-09-24
Better Call Saul,2,10,Klick,2022-99-40
Two and a Half Men,1,5,The Last Thing You Want Is To End Up With A Housekeeper From Hell,2003-10-20
Breaking Bad,3,3,I.F.T.,2010-04-04
The Big Bang Theory,2,3,The Barbarian Sublimation,2008-10-06
The Big Bang Theory,1,6,The Middle Earth Paradigm,2007-10-29
The Big Bang Theory,3,2,The Jiminy Conjecture,2009-09-28
The Big Bang Theory,2,1,The Bad Fish Paradigm,2008-09-22
Breaking Bad,4,9,,2011-09-04
Better Call Saul,1,3.5,Nacho,2015-02-16
